label,text
spam,Win a free iPhone now
ham,Hello how are you
spam,Congratulations you won a lottery
ham,Let's meet tomorrow at 3 PM
spam,Claim your reward now
ham,Please review the project report
spam,You have been selected for a cash prize
ham,Can we schedule a meeting?
spam,Click here to get free vouchers
ham,"Happy birthday, have a great day!"
spam,Urgent! Your account has won a bonus
ham,Kindly share the updated document
spam,"Limited offer, buy now and save money"
ham,Thank you for your support
spam,Earn money quickly from home
